"index";"seconds";"minutes";"dateTime";"ser_vol";"ser_cur";"ser_pow";"cli_vol";"cli_cur";"cli_pow"
176;176,302;2,9383666667;20220426 14:14:07;5;0,4;2;5;0,4;2
177;177,299;2,9549833333;20220426 14:14:08;5;0,4;2;5;0,4;2
178;178,299;2,97165;20220426 14:14:09;5;0,4;2;5;0,4;2
179;179,303;2,9883833333;20220426 14:14:10;5;0,41;2,05;5;0,4;2
180;180,299;3,0049833333;20220426 14:14:11;5;0,4;2;5;0,4;2
181;181,303;3,0217166667;20220426 14:14:12;5;0,4;2;5;0,4;2
182;182,3;3,0383333333;20220426 14:14:13;5;0,4;2;5;0,4;2
183;183,301;3,0550166667;20220426 14:14:14;5;0,4;2;5;0,4;2
184;184,3;3,0716666667;20220426 14:14:15;5;0,4;2;5;0,4;2
185;185,299;3,0883166667;20220426 14:14:16;5;0,4;2;5;0,4;2
186;186,303;3,10505;20220426 14:14:17;5;0,4;2;5;0,4;2
187;187,3;3,1216666667;20220426 14:14:18;5;0,4;2;5;0,4;2
188;188,299;3,1383166667;20220426 14:14:19;5;0,4;2;5;0,4;2
189;189,303;3,15505;20220426 14:14:20;5;0,4;2;5;0,4;2
190;190,3;3,1716666667;20220426 14:14:21;5;0,4;2;5;0,4;2
191;191,299;3,1883166667;20220426 14:14:22;5;0,4;2;5;0,4;2
192;192,298;3,2049666667;20220426 14:14:23;5;0,4;2;5;0,4;2
193;193,299;3,22165;20220426 14:14:24;5;0,4;2;5;0,4;2
194;194,299;3,2383166667;20220426 14:14:25;5;0,4;2;5;0,4;2
195;195,302;3,2550333333;20220426 14:14:26;5;0,44;2,2;5;0,4;2
196;196,303;3,2717166667;20220426 14:14:27;5;0,4;2;5;0,4;2
197;197,299;3,2883166667;20220426 14:14:28;5;0,4;2;5;0,4;2
198;198,299;3,3049833333;20220426 14:14:29;5;0,4;2;5;0,4;2
199;199,299;3,32165;20220426 14:14:30;5;0,4;2;5;0,4;2
200;200,298;3,3383;20220426 14:14:31;5;0,4;2;5;0,4;2
201;201,299;3,3549833333;20220426 14:14:32;5;0,41;2,05;5;0,4;2
202;202,299;3,37165;20220426 14:14:33;5;0,4;2;5;0,4;2
203;203,302;3,3883666667;20220426 14:14:34;5;0,4;2;5;0,4;2
204;204,299;3,4049833333;20220426 14:14:35;5;0,4;2;5;0,4;2
205;205,299;3,42165;20220426 14:14:36;5;0,4;2;5;0,4;2
206;206,299;3,4383166667;20220426 14:14:37;5;0,4;2;5;0,4;2
207;207,299;3,4549833333;20220426 14:14:38;5;0,4;2;5;0,4;2
208;208,298;3,4716333333;20220426 14:14:39;5;0,4;2;5;0,4;2
209;209,299;3,4883166667;20220426 14:14:40;5;0,4;2;5;0,4;2
210;210,301;3,5050166667;20220426 14:14:41;5;0,4;2;5;0,4;2
211;211,303;3,5217166667;20220426 14:14:42;5;0,4;2;5;0,4;2
212;212,299;3,5383166667;20220426 14:14:43;5;0,4;2;5;0,4;2
213;213,299;3,5549833333;20220426 14:14:44;5;0,4;2;5;0,4;2
214;214,301;3,5716833333;20220426 14:14:45;5;0,4;2;5;0,4;2
215;215,301;3,58835;20220426 14:14:46;5;0,4;2;5;0,4;2
216;216,299;3,6049833333;20220426 14:14:47;5;0,4;2;5;0,4;2
217;217,3;3,6216666667;20220426 14:14:48;5;0,4;2;5;0,4;2
218;218,298;3,6383;20220426 14:14:49;5;0,4;2;5;0,4;2
219;219,299;3,6549833333;20220426 14:14:50;5;0,4;2;5;0,4;2
220;220,299;3,67165;20220426 14:14:51;5;0,4;2;5;0,4;2
221;221,303;3,6883833333;20220426 14:14:52;5;0,4;2;5;0,4;2
222;222,299;3,7049833333;20220426 14:14:53;5;0,4;2;5;0,4;2
223;223,303;3,7217166667;20220426 14:14:54;5;0,4;2;5;0,4;2
224;224,301;3,73835;20220426 14:14:55;5;0,4;2;5;0,4;2
225;225,298;3,7549666667;20220426 14:14:56;5;0,4;2;5;0,4;2
226;226,299;3,77165;20220426 14:14:57;5;0,4;2;5;0,4;2
227;227,299;3,7883166667;20220426 14:14:58;5;0,4;2;5;0,4;2
228;228,299;3,8049833333;20220426 14:14:59;5;0,4;2;5;0,4;2
229;229,299;3,82165;20220426 14:15:00;5;0,4;2;5;0,4;2
230;230,302;3,8383666667;20220426 14:15:01;5;0,45;2,25;5;0,4;2
231;231,298;3,8549666667;20220426 14:15:02;5;0,4;2;5;0,4;2
232;232,298;3,8716333333;20220426 14:15:03;5;0,4;2;5;0,4;2
233;233,298;3,8883;20220426 14:15:04;5;0,4;2;5;0,4;2
234;234,299;3,9049833333;20220426 14:15:05;5;0,4;2;5;0,4;2
235;235,3;3,9216666667;20220426 14:15:06;5;0,4;2;5;0,45;2,25
236;236,303;3,9383833333;20220426 14:15:07;5;0,4;2;5;0,4;2
237;237,3;3,955;20220426 14:15:08;5;0,4;2;5;0,4;2
238;238,299;3,97165;20220426 14:15:09;5;0,4;2;5;0,4;2
239;239,299;3,9883166667;20220426 14:15:10;5;0,4;2;5;0,4;2
240;240,298;4,0049666667;20220426 14:15:11;5;0,4;2;5;0,4;2
241;241,298;4,0216333333;20220426 14:15:12;5;0,4;2;5;0,4;2
242;242,298;4,0383;20220426 14:15:13;5;0,4;2;5;0,4;2
243;243,302;4,0550333333;20220426 14:15:14;5;0,4;2;5;0,4;2
244;244,301;4,0716833333;20220426 14:15:15;5;0,4;2;5;0,4;2
245;245,298;4,0883;20220426 14:15:16;5;0,4;2;5;0,4;2
246;246,298;4,1049666667;20220426 14:15:17;5;0,4;2;5;0,4;2
247;247,298;4,1216333333;20220426 14:15:18;5;0,4;2;5;0,4;2
248;248,299;4,1383166667;20220426 14:15:19;5;0,4;2;5;0,4;2
249;249,299;4,1549833333;20220426 14:15:20;5;0,4;2;5;0,4;2
250;250,302;4,1717;20220426 14:15:21;5;0,4;2;5;0,4;2
251;251,298;4,1883;20220426 14:15:22;5;0,41;2,05;5;0,4;2
252;252,299;4,2049833333;20220426 14:15:23;5;0,4;2;5;0,4;2
253;253,298;4,2216333333;20220426 14:15:24;5;0,4;2;5;0,4;2
254;254,298;4,2383;20220426 14:15:25;5;0,4;2;5;0,4;2
255;255,298;4,2549666667;20220426 14:15:26;5;0,45;2,25;5;0,4;2
